[UID, JHJ0ekidS93_dk3145kIssW_Kj92rIesdDj]-
[TIME, 2015-04-29 16:03:23:73][010c, 2072][010d, 159][0110, 56]-
[TIME, 2015-04-29 16:03:24:73][010c, 2072][010d, 159][0110, 56]-
[TIME, 2015-04-29 16:03:25:74][010c, 2072][010d, 159][0110, 56]-
[TIME, 2015-04-29 16:03:26:73][010c, 2072][010d, 159][0110, 56]-
[TIME, 2015-04-29 16:03:27:73][010c, 2072][010d, 159][0110, 56]-
[TIME, 2015-04-29 16:03:28:73][010c, 2072][010d, 159][0110, 56]-
[TIME, 2015-04-29 16:03:29:74][010c, 2072][010d, 159][0110, 56]-
[TIME, 2015-04-29 16:03:30:74][010c, 2072][010d, 159][0110, 56]-
[TIME, 2015-04-29 16:03:31:73][010c, 2072][010d, 156][0110, 56]-
[TIME, 2015-04-29 16:03:32:73][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:33:73][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:34:73][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:35:73][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:36:73][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:37:74][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:38:73][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:39:73][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:40:73][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:41:73][010c, 2072][010d, 200][0110, 56]-
[TIME, 2015-04-29 16:03:42:73][010c, 2072][010d, 207][0110, 56]-
[TIME, 2015-04-29 16:03:43:73][010c, 2072][010d, 154][0110, 56]-
[TIME, 2015-04-29 16:03:44:74][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:45:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:46:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:47:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:48:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:49:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:50:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:51:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:52:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:53:74][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:54:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:55:74][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:56:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:57:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:58:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:03:59:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:04:00:74][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:04:01:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:04:02:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:04:03:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:04:04:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:04:05:73][010c, 2072][010d, 115][0110, 56]-
[TIME, 2015-04-29 16:04:06:73][010c, 2072][010d, 24][0110, 56]-
[TIME, 2015-04-29 16:04:07:73][010c, 2072][010d, 124][0110, 56]-
[TIME, 2015-04-29 16:04:08:73][010c, 2072][010d, 0][0110, 56]-
[TIME, 2015-04-29 16:04:09:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:10:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:11:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:12:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:13:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:14:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:15:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:16:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:17:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:18:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:19:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:20:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:21:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:22:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:23:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:24:74][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:25:74][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:26:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:27:74][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:28:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:29:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:30:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:31:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:32:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:33:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:34:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:35:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:36:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:37:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:38:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:39:74][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:40:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:41:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:42:73][010c, 2072][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:43:73][010c, 142][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:44:73][010c, 288][010d, 135][0110, 56]-
[TIME, 2015-04-29 16:04:45:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:46:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:47:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:48:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:49:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:50:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:51:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:52:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:53:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:54:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:55:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:56:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:57:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:58:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:04:59:74][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:00:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:01:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:02:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:03:74][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:04:73][010c, 288][010d, 163][0110, 56]-
